timestamp,problem,best_distance,optimal_distance,gap_percent,improvement_percent,total_time_s,generations,population_size,mutation_prob,crossover_prob,elitism_percent,selection_method,mutation_method,crossover_method,initial_distance,convergence_gen
1767805612.6132658,ATT48,20226,10628,90.30861874294317,1.1151561737060547,1.1151843070983887,200,100,0.02,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805613.6941614,ATT48,20413,10628,92.0681219420399,1.0808637142181396,1.0808906555175781,200,100,0.02,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805614.7334285,ATT48,19482,10628,83.30824237862251,1.0392320156097412,1.0392613410949707,200,100,0.02,0.8,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805615.7643523,ATT48,14769,10628,38.96311629657509,1.0308897495269775,1.0309169292449951,200,100,0.02,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805616.7951148,ATT48,12839,10628,20.803537824614228,1.0307302474975586,1.0307576656341553,200,100,0.02,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805617.8269083,ATT48,15547,10628,46.28340233345879,1.0317621231079102,1.0317893028259277,200,100,0.02,1.0,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805618.8612845,ATT48,13365,10628,25.7527286413248,1.034346103668213,1.0343711376190186,200,100,0.02,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805619.8922155,ATT48,14218,10628,33.7786977794505,1.030900001525879,1.03092622756958,200,100,0.02,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805620.924758,ATT48,13442,10628,26.477229958599924,1.0325088500976562,1.0325353145599365,200,100,0.02,1.0,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
1767805621.9594958,ATT48,14372,10628,35.22770041400075,1.034705638885498,1.0347330570220947,200,100,0.02,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,0
1767805622.9931629,ATT48,16045,10628,50.96913812570568,1.0336329936981201,1.0336616039276123,200,100,0.02,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,1
1767805624.0264022,ATT48,14825,10628,39.49002634550244,1.0332040786743164,1.0332331657409668,200,100,0.02,1.0,10,Rank Selection,rank_size,80,Order Crossover (OX),Swap Mutation,2
1767805625.064699,ATT48,20868,10628,96.3492660895747,1.0382628440856934,1.0382895469665527,200,100,0.02,1.0,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,0
1767805626.10398,ATT48,20749,10628,95.22958223560406,1.0392470359802246,1.039275884628296,200,100,0.02,1.0,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,1
1767805627.1438732,ATT48,20656,10628,94.35453519006398,1.0398621559143066,1.0398881435394287,200,100,0.02,1.0,10,Rank Selection,rank_size,100,Order Crossover (OX),Swap Mutation,2
1767805628.1484764,ATT48,12394,10628,16.61648475724501,1.0045735836029053,1.0045990943908691,200,100,0.05,0.8,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805629.1561494,ATT48,15689,10628,47.61949567181031,1.007641077041626,1.0076687335968018,200,100,0.05,0.8,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805630.161621,ATT48,14281,10628,34.37147158449379,1.005439043045044,1.0054659843444824,200,100,0.05,0.8,10,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805631.1724112,ATT48,13714,10628,29.03650733910425,1.010761022567749,1.0107858180999756,200,100,0.05,0.8,10,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805581.0859778,ATT48,17353,10628,63.276251411366204,0.9881699085235596,0.9882059097290039,200,100,0.02,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,0
1767805582.1270082,ATT48,15226,10628,43.263078660143016,1.0409927368164062,1.041022539138794,200,100,0.02,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,1
1767805583.1336854,ATT48,13107,10628,23.325178773052315,1.006638526916504,1.0066678524017334,200,100,0.02,0.8,5,Rank Selection,rank_size,40,Order Crossover (OX),Swap Mutation,2
1767805584.1546392,ATT48,13557,10628,27.559277380504327,1.0209171772003174,1.0209462642669678,200,100,0.02,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,0
1767805585.1732142,ATT48,15216,10628,43.16898757997742,1.0185356140136719,1.0185658931732178,200,100,0.02,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,1
1767805586.1825666,ATT48,15547,10628,46.28340233345879,1.009312391281128,1.0093433856964111,200,100,0.02,0.8,5,Rank Selection,rank_size,60,Order Crossover (OX),Swap Mutation,2
